provider,case_id,interviewer,emotion,structure,target_words,json_valid,has_parts_key,parts_count_correct,roles_correct,word_count_mae,no_forbidden_punct,latency_s,input_tokens,output_tokens,cost_usd,style_cosine,judge_style,judge_language,judge_emotion,judge_overall,judge_mean,judge_comment
openai/gpt-4o,dud_01_question_neutral_followup,dud,neutral,question,12,True,True,True,True,3,True,2.028,846,28,0.002395,0.2862,4.0,5.0,5.0,5.0,4.75,Реплика соответствует стилю Дудя и заданной эмоции.
openai/gpt-4o,dud_02_question_challenge_why,dud,challenge,question,12,True,True,True,True,4,True,0.887,810,27,0.002295,0.5399,3.0,5.0,3.0,3.0,3.5,"Реплика корректна, но не достаточно провокационна для стиля Дудя."
openai/gpt-4o,dud_03_ack_question_empathy,dud,empathy,acknowledgment+question,20,True,True,True,True,6,True,1.287,859,48,0.002628,0.4163,4.0,5.0,4.0,4.0,4.25,"Реплика сочувствующая и в стиле Дудя, но могла быть более прямолинейной."
openai/gpt-4o,dud_04_question_commentary,dud,commentary,question,8,True,True,True,True,2,True,0.903,784,23,0.00219,0.3983,3.0,5.0,2.0,3.0,3.25,"Реплика не соответствует требуемой эмоции одобрения, но грамматически корректна."
openai/gpt-4o,dud_05_paraphrase_question_neutral,dud,neutral,paraphrase+question,24,True,True,True,True,5,True,1.338,867,62,0.002788,0.2404,4.0,5.0,5.0,5.0,4.75,Реплика соответствует стилю Дудя и нейтральному тону.
openai/gpt-4o,dud_06_question_challenge_factcheck,dud,challenge,question,10,True,True,True,True,1,True,1.175,792,26,0.00224,0.2107,4.0,5.0,4.0,4.0,4.25,"Реплика соответствует стилю и эмоции, но могла бы быть более провокационной."
openai/gpt-4o,dud_07_bridge_question_transition,dud,neutral,bridge+question,22,True,True,True,True,5,True,1.359,812,56,0.00259,0.1945,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и тону, но могла бы быть более прямолинейной."
openai/gpt-4o,sobchak_08_question_challenge,sobchak,challenge,question,14,True,True,True,True,5,True,1.383,767,29,0.002207,0.4638,3.0,5.0,3.0,3.0,3.5,"Реплика корректна, но не полностью соответствует провокационному стилю."
openai/gpt-4o,sobchak_09_question_neutral_transition,sobchak,neutral,question,14,True,True,True,True,7,True,1.013,784,28,0.00224,0.1874,4.0,5.0,5.0,5.0,4.75,"Реплика соответствует стилю Собчак и заданной эмоции, звучит естественно."
openai/gpt-4o,sobchak_10_ack_question_empathy,sobchak,empathy,acknowledgment+question,26,True,True,True,True,17,True,1.113,800,44,0.00244,0.5376,3.0,5.0,4.0,4.0,4.0,"Реплика сочувственная, но не полностью соответствует стилю Собчак."
openai/gpt-4o,sobchak_11_question_challenge_opinion,sobchak,challenge,question,14,True,True,True,True,4,True,1.165,779,30,0.002247,0.4539,4.0,5.0,4.0,4.0,4.25,"Реплика провокационная и грамматически правильная, но могла бы быть более острой."
openai/gpt-4o,sobchak_12_paraphrase_question_neutral,sobchak,neutral,paraphrase+question,26,True,True,True,True,11,True,1.236,819,57,0.002618,0.3359,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и тону, но могла бы быть более провокационной."
openai/gpt-4o,sobchak_13_question_challenge_factcheck,sobchak,challenge,question,14,True,True,True,True,4,True,1.735,786,31,0.002275,0.3361,4.0,5.0,4.0,4.0,4.25,"Реплика соответствует стилю и эмоции, но могла бы быть более провокационной."
openai/gpt-4o,sobchak_14_bridge_question_transition,sobchak,neutral,bridge+question,26,True,True,True,True,11,True,1.053,792,53,0.00251,0.3392,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и тону, но могла бы быть более провокационной."
openai/gpt-4o,pozner_15_question_neutral_values,pozner,neutral,question,28,True,True,True,True,13,True,0.946,797,37,0.002363,0.3464,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю Познера, но могла бы быть более аналитической."
openai/gpt-4o,pozner_16_paraphrase_question_neutral,pozner,neutral,paraphrase+question,50,True,True,True,True,27,True,1.029,830,63,0.002705,0.2803,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю Познера, но могла бы быть более аналитической."
openai/gpt-4o,pozner_17_text_question_opinion,pozner,neutral,text+question,50,True,True,True,True,29,True,5.682,810,63,0.002655,0.2568,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю Познера, нейтральна и грамматически корректна."
openai/gpt-4o,pozner_18_question_neutral_background,pozner,neutral,question,28,True,True,True,True,14,True,8.545,780,38,0.00233,0.2373,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Владимира Познера.
