provider,n,json_valid_%,structure_ok_%,punct_ok_%,word_mae,latency_mean_s,latency_std_s,style_cosine,judge_style,judge_language,judge_emotion,judge_overall,total_cost_usd
or/deepseek-chat,20,100%,100%,100%,10.75,3.144,1.637,0.406,4.1,5.0,4.2,4.1,0.0058
or/llama-3.3-70b,20,55%,55%,55%,14.091,2.141,1.608,0.347,3.45,4.75,3.8,3.65,0.0025
or/llama-3.1-8b,20,100%,100%,95%,10.9,1.224,0.594,0.415,3.75,4.8,4.05,3.85,0.001
or/gemini-2.5-flash,20,95%,95%,90%,8.737,1.206,0.583,0.396,3.9,4.7,4.2,4.05,0.003
or/gemini-2.0-flash,20,100%,100%,100%,9.1,0.83,0.151,0.431,3.733,4.933,3.867,3.8,0.0019
or/mistral-small-3.1,20,100%,100%,100%,11.15,1.171,0.358,0.4,4.182,5.0,4.182,4.091,0.0021
or/mistral-large,20,100%,100%,100%,11.35,2.542,1.248,0.393,4.125,5.0,4.25,4.125,0.0533
or/claude-3.5-haiku,20,100%,100%,85%,7.7,2.307,0.625,0.367,4.1,4.9,4.25,4.1,0.0235
or/qwen2.5-72b,20,100%,95%,95%,9.4,2.238,0.874,0.344,4.1,5.0,4.35,4.25,0.0072
openai/gpt-4o,20,100%,100%,100%,10.4,1.822,1.889,0.329,3.9,5.0,4.3,4.1,0.0486
openai/gpt-4o-mini,20,100%,100%,95%,8.55,1.767,1.164,0.367,3.95,5.0,4.35,4.15,0.0029
