test_index,test_id,model,reference,generated,missing_generated,bertscore_f1,emb_cosine,char_ratio,style_cosine
0,test1.txt,gpt_chroma_cases_templates_temp_0_7,"Дудь: 1. Как ты думаешь, почему так получилось?","Давайте попробуем чуть-чуть конкретизировать. Расскажи, почему тебе не хочется снова играть жён с сложными взаимоотношениями?",0,0.654909,0.361722,0.279070,0.416102
1,test2.txt,gpt_chroma_cases_templates_temp_0_7,Дудь: 2. Почему ты развелась?,"Это про вас, да? Получается, у вас был похожий период в жизни, когда отношения расходились?",0,0.683375,0.531654,0.266667,0.505842
2,test3.txt,gpt_chroma_cases_templates_temp_0_7,Дудь: 3. Кто сказал первым всё?,"Слушай, есть ощущение, что желание доказать себе в отношениях — это больше про жалость, чем про настоящие чувства?",0,0.633423,0.078956,0.220690,0.328351
3,test4.txt,gpt_chroma_cases_templates_temp_0_7,Дудь: 4. И ты грустишь из-за этого?,"А зачем тогда всё это дальше, если вы не общаетесь?",0,0.699605,0.416814,0.209302,0.543786
4,test5.txt,gpt_chroma_cases_templates_temp_0_7,Дудь: 5. Как у тебя изменилось в последние годы твоя жизнь с точки зрения кэша? Стала ли ты состоятельной леди?,"Ага? А у тебя есть лимит по количеству рекламных постов в месяц, не больше двух-трёх?",0,0.658069,0.251253,0.285714,0.337774
5,test6.txt,gpt_chroma_cases_templates_temp_0_7,"Дудь: 6. Забиралась ли ты в мобильничек когда-нибудь либо к парню, либо к мужу?","Допускаешь ли ты, что в отношениях бывают девушки, которые не проверяют телефон своего партнёра и при этом у них нормальные отношения?",0,0.645324,0.542773,0.328638,0.198979
6,test7.txt,gpt_chroma_cases_templates_temp_0_7,Дудь: 7. Ты прощала измену?,Он старше тебя?,0,0.694966,0.333718,0.095238,0.325576
7,test8.txt,gpt_chroma_cases_templates_temp_0_7,"Дудь: 8. Ты не считаешь проблемой, когда у человека нет актёрского образования?","А как так вышло, что у Иры Старшенбаум нет актёрского образования?",0,0.700971,0.647561,0.482759,0.313712
8,test9.txt,gpt_chroma_cases_templates_temp_0_7,Дудь: 9. Ты позвонила?,"А с чем это совпало, когда ты начала делать шаги по улучшению отношений через долгие расчехления?",0,0.650176,0.175678,0.184874,0.365700
9,test9_10.txt,gpt_chroma_cases_templates_temp_0_7,Дудь: 10. А что ты увидела в Казахстане?,"Да. Так, а что это за ... впечатление от природы, которое так сильно тебя удивило?",0,0.682607,0.332810,0.278689,0.546095
10,test9_11.txt,gpt_chroma_cases_templates_temp_0_7,"Дудь: 11. Ты стала к ней ходить как к человеку, который может помочь разобраться в себе?",Психолог или учитель мастер Рейки?,0,0.644926,0.431947,0.245902,0.434290
11,test9_12.txt,gpt_chroma_cases_templates_temp_0_7,Дудь: 12. А это совпало с реализацией в профессии?,"А с чем это совпало, когда ты начала любить себя такой, какая ты есть?",0,0.697820,0.318348,0.400000,0.440705
0,test1.txt,gpt_chroma_io_temp_0_3,"Дудь: 1. Как ты думаешь, почему так получилось?","Ага, а какие роли тебе сейчас интересны, кроме жён?",0,0.657792,0.336242,0.244898,0.503969
1,test2.txt,gpt_chroma_io_temp_0_3,Дудь: 2. Почему ты развелась?,"Ага, и как это повлияло на вашу игру?",0,0.693268,0.187079,0.212121,0.521035
2,test3.txt,gpt_chroma_io_temp_0_3,Дудь: 3. Кто сказал первым всё?,"А как ты справлялась с этой жалостью, когда пыталась всё спасти?",0,0.644898,0.270558,0.273684,0.495783
3,test4.txt,gpt_chroma_io_temp_0_3,Дудь: 4. И ты грустишь из-за этого?,А почему вы не общаетесь?,0,0.722613,0.385231,0.233333,0.492597
4,test5.txt,gpt_chroma_io_temp_0_3,Дудь: 5. Как у тебя изменилось в последние годы твоя жизнь с точки зрения кэша? Стала ли ты состоятельной леди?,"А если реклама не заходит, ты как-то меняешь подход?",0,0.649278,0.333091,0.282209,0.386876
5,test6.txt,gpt_chroma_io_temp_0_3,"Дудь: 6. Забиралась ли ты в мобильничек когда-нибудь либо к парню, либо к мужу?","Слушай, а что для тебя значит доверие в отношениях?",0,0.636878,0.384217,0.200000,0.358784
6,test7.txt,gpt_chroma_io_temp_0_3,Дудь: 7. Ты прощала измену?,"Ага, а что стало причиной вашего расставания?",0,0.690987,0.576002,0.222222,0.609189
7,test8.txt,gpt_chroma_io_temp_0_3,"Дудь: 8. Ты не считаешь проблемой, когда у человека нет актёрского образования?","А как вы считаете, это влияет на её карьеру?",0,0.672045,0.296999,0.341463,0.267577
8,test9.txt,gpt_chroma_io_temp_0_3,Дудь: 9. Ты позвонила?,Что именно ты поняла из этих расчехлений?,0,0.688816,0.314316,0.317460,0.615080
9,test9_10.txt,gpt_chroma_io_temp_0_3,Дудь: 10. А что ты увидела в Казахстане?,А что именно тебя поразило в атмосфере секвой?,0,0.705424,0.388854,0.372093,0.545031
10,test9_11.txt,gpt_chroma_io_temp_0_3,"Дудь: 11. Ты стала к ней ходить как к человеку, который может помочь разобраться в себе?","Ага, а что для неё значит быть другом в этой практике?",0,0.691193,0.557242,0.267606,0.396274
11,test9_12.txt,gpt_chroma_io_temp_0_3,Дудь: 12. А это совпало с реализацией в профессии?,А как ты пришла к этой любви к себе?,0,0.721537,0.247945,0.232558,0.463565
0,test1.txt,gpt_chroma_io_temp_0_7,"Дудь: 1. Как ты думаешь, почему так получилось?","Слушай, а какие роли ты вообще мечтаешь сыграть?",0,0.701234,0.211192,0.378947,0.476750
1,test2.txt,gpt_chroma_io_temp_0_7,Дудь: 2. Почему ты развелась?,"Ага, скажи, как это повлияло на вашу работу с Борей?",0,0.669466,0.352328,0.222222,0.702252
2,test3.txt,gpt_chroma_io_temp_0_7,Дудь: 3. Кто сказал первым всё?,"А как ты справлялась с этой жалостью, когда пыталась заново начать отношения?",0,0.636570,0.156101,0.185185,0.359215
3,test4.txt,gpt_chroma_io_temp_0_7,Дудь: 4. И ты грустишь из-за этого?,"А почему так вышло, что вы больше не общаетесь?",0,0.696081,0.429513,0.219512,0.528154
4,test5.txt,gpt_chroma_io_temp_0_7,Дудь: 5. Как у тебя изменилось в последние годы твоя жизнь с точки зрения кэша? Стала ли ты состоятельной леди?,"Слушай, а ты чувствуешь, что два-три поста — это достаточно для тебя?",0,0.654177,0.315792,0.111111,0.584617
5,test6.txt,gpt_chroma_io_temp_0_7,"Дудь: 6. Забиралась ли ты в мобильничек когда-нибудь либо к парню, либо к мужу?","Так вот, а что именно в ваших отношениях помогает избежать такой ревности?",0,0.624519,0.259536,0.196078,0.285084
6,test7.txt,gpt_chroma_io_temp_0_7,Дудь: 7. Ты прощала измену?,А почему ты вернулась?,0,0.738341,0.584083,0.285714,0.574154
7,test8.txt,gpt_chroma_io_temp_0_7,"Дудь: 8. Ты не считаешь проблемой, когда у человека нет актёрского образования?","Почему, по вашему мнению, отсутствие образования не мешает ей в сериалах?",0,0.673155,0.620208,0.276316,0.315542
8,test9.txt,gpt_chroma_io_temp_0_7,Дудь: 9. Ты позвонила?,А какие именно моменты стали для тебя переломными?,0,0.651749,0.260568,0.166667,0.531301
9,test9_10.txt,gpt_chroma_io_temp_0_7,Дудь: 10. А что ты увидела в Казахстане?,А что именно тебе запомнилось больше всего в секвойях?,0,0.712531,0.332424,0.319149,0.503357
10,test9_11.txt,gpt_chroma_io_temp_0_7,"Дудь: 11. Ты стала к ней ходить как к человеку, который может помочь разобраться в себе?",А что для неё значит быть другом в этой роли?,0,0.687395,0.506298,0.270677,0.380056
11,test9_12.txt,gpt_chroma_io_temp_0_7,Дудь: 12. А это совпало с реализацией в профессии?,А как ты сейчас относишься к своему росту?,0,0.712898,0.362712,0.239130,0.393236
0,test1.txt,gpt_chroma_qa_temp_0_3,"Дудь: 1. Как ты думаешь, почему так получилось?",Почему ты выбрала именно такие роли?,0,0.701567,0.568098,0.337349,0.561752
1,test2.txt,gpt_chroma_qa_temp_0_3,Дудь: 2. Почему ты развелась?,"Ты помнишь, как вы познакомились с Борей Хлебниковым?",0,0.703582,0.128520,0.195122,0.473677
2,test3.txt,gpt_chroma_qa_temp_0_3,Дудь: 3. Кто сказал первым всё?,Почему ты решила попробовать снова?,0,0.714368,0.303737,0.303030,0.466976
3,test4.txt,gpt_chroma_qa_temp_0_3,Дудь: 4. И ты грустишь из-за этого?,Почему так вышло?,0,0.629283,0.461082,0.269231,0.659436
4,test5.txt,gpt_chroma_qa_temp_0_3,Дудь: 5. Как у тебя изменилось в последние годы твоя жизнь с точки зрения кэша? Стала ли ты состоятельной леди?,Почему именно два-три поста?,0,0.604084,0.118711,0.230216,0.481935
5,test6.txt,gpt_chroma_qa_temp_0_3,"Дудь: 6. Забиралась ли ты в мобильничек когда-нибудь либо к парню, либо к мужу?",Почему ты так уверена в этом?,0,0.624329,0.261995,0.259259,0.509331
6,test7.txt,gpt_chroma_qa_temp_0_3,Дудь: 7. Ты прощала измену?,Почему вернулась?,0,0.724478,0.563613,0.227273,0.529109
7,test8.txt,gpt_chroma_qa_temp_0_3,"Дудь: 8. Ты не считаешь проблемой, когда у человека нет актёрского образования?",А что ты можешь сказать о её таланте?,0,0.679002,0.218682,0.275862,0.270687
8,test9.txt,gpt_chroma_qa_temp_0_3,Дудь: 9. Ты позвонила?,Почему ты решила именно так подойти к этим моментам?,0,0.666507,0.302797,0.216216,0.637188
9,test9_10.txt,gpt_chroma_qa_temp_0_3,Дудь: 10. А что ты увидела в Казахстане?,А что еще в природе тебя так впечатлило?,0,0.700368,0.324855,0.350000,0.497378
10,test9_11.txt,gpt_chroma_qa_temp_0_3,"Дудь: 11. Ты стала к ней ходить как к человеку, который может помочь разобраться в себе?",А что для неё значит быть учителем?,0,0.695653,0.350116,0.276423,0.273283
11,test9_12.txt,gpt_chroma_qa_temp_0_3,Дудь: 12. А это совпало с реализацией в профессии?,Что изменилось в тебе после этого?,0,0.721505,0.409743,0.190476,0.485395
0,test1.txt,gpt_chroma_qa_temp_0_7,"Дудь: 1. Как ты думаешь, почему так получилось?",А ты мечтаешь о другом амплуа?,0,0.680982,0.353579,0.415584,0.602708
1,test2.txt,gpt_chroma_qa_temp_0_7,Дудь: 2. Почему ты развелась?,А как вы познакомились с Борей Хлебниковым?,0,0.708031,0.085674,0.250000,0.434214
2,test3.txt,gpt_chroma_qa_temp_0_7,Дудь: 3. Кто сказал первым всё?,Почему ты решила попробовать снова?,0,0.714368,0.303737,0.303030,0.466976
3,test4.txt,gpt_chroma_qa_temp_0_7,Дудь: 4. И ты грустишь из-за этого?,Почему вы решили прекратить общение?,0,0.683909,0.429199,0.309859,0.483576
4,test5.txt,gpt_chroma_qa_temp_0_7,Дудь: 5. Как у тебя изменилось в последние годы твоя жизнь с точки зрения кэша? Стала ли ты состоятельной леди?,Сколько времени у тебя уходит на подготовку к этим постам?,0,0.685039,0.249264,0.224852,0.352347
5,test6.txt,gpt_chroma_qa_temp_0_7,"Дудь: 6. Забиралась ли ты в мобильничек когда-нибудь либо к парню, либо к мужу?","Почему ты считаешь, что у вас нормальные отношения?",0,0.637320,0.269342,0.230769,0.277108
6,test7.txt,gpt_chroma_qa_temp_0_7,Дудь: 7. Ты прощала измену?,Почему вернулась?,0,0.724478,0.563613,0.227273,0.529109
7,test8.txt,gpt_chroma_qa_temp_0_7,"Дудь: 8. Ты не считаешь проблемой, когда у человека нет актёрского образования?","А ты знаешь, где она училась?",0,0.700785,0.214118,0.333333,0.473677
