test_file,gpt_only_temp_0_7,gpt_chroma_io_temp_0_3,gpt_chroma_io_temp_0_7,gpt_chroma_qa_temp_0_3,gpt_chroma_qa_temp_0_7,gpt_faiss_qa_temp_0_3,gpt_faiss_qa_temp_0_7,qwen_only_cases,qwen_chroma_cases_templates_temp_0_7
test1.txt,"Интервьюер: А ты не боишься, что за такой выбор ролей к тебе могут начать приклеивать ярлык, типа «актрисы-очередной жены», и как с этим справляться?","Ага, а какие роли тебе сейчас интересны, кроме жён?","Слушай, а какие роли ты вообще мечтаешь сыграть?",Почему ты выбрала именно такие роли?,А ты мечтаешь о другом амплуа?,Почему ты согласилась на продолжение?,Что тебя привлекает в этих ролях?,"Просто ты такая разноплановая актриса, Ира, вроде можешь сыграть что угодно, но вот эти роли тебе просто нипочём. А потом говоришь - амплуа такое есть, и оно тебя тянет. Как же ты это все с平衡状态： 根据提供的信息，接下来的问题应该延续前一个问题的风格，并且保持与原问题相同的一句话长度。因此，以下问题是符合要求的：  Гость: Юр, иногда выбирать не из чего, просто, вот?","Да. А эти четыре роли жены с разными взаимоотношениями, они тебя как-то утомляют?"
test2.txt,"Интервьюер: Получается, вы оба в какой-то момент по сути играли свои собственные переживания?","Ага, и как это повлияло на вашу игру?","Ага, скажи, как это повлияло на вашу работу с Борей?","Ты помнишь, как вы познакомились с Борей Хлебниковым?",А как вы познакомились с Борей Хлебниковым?,Почему вы решили работать с Борей Хлебниковым?,"Ты часто играешь роли, близкие к своему опыту?",Так ты и Санин персонаж — один в один?,Это же был такой сложный период в твоей жизни?
test3.txt,"Интервьюер: А что, по-твоему, помогает людям распутать этот клубок эмоций и не терять себя в отношениях?","А как ты справлялась с этой жалостью, когда пыталась всё спасти?","А как ты справлялась с этой жалостью, когда пыталась заново начать отношения?",Почему ты решила попробовать снова?,Почему ты решила попробовать снова?,"Почему ты решила попробовать снова, несмотря на всё это?",Что было самым сложным в этом процессе?,"Но ты потом пришла к выводу, что это всё-таки не стоит делать?","Пришёл или не пришёл домой? Ну... это всё как доказательство себе, типа?"
test4.txt,Интервьюер: А почему так вышло?,А почему вы не общаетесь?,"А почему так вышло, что вы больше не общаетесь?",Почему так вышло?,Почему вы решили прекратить общение?,Почему вы не общаетесь?,А ты не планируешь возобновить общение?,Ты вообще знаешь что-то о его мыслях или чувствах сейчас?,Ты типа не про страхи и опасения за будущее?
test5.txt,"Интервьюер: А как ты выбираешь, с кем работать, чтобы не потерять свою аудиторию?","А если реклама не заходит, ты как-то меняешь подход?","Слушай, а ты чувствуешь, что два-три поста — это достаточно для тебя?",Почему именно два-три поста?,Сколько времени у тебя уходит на подготовку к этим постам?,"Слушай, а как ты выбираешь бренды для рекламы?",А что с качеством постов?,А как тебе это удается? Не тяжело балансировать между рекламой и личным контентом?,Так? А у тебя есть лимит по рекламным постам в месяц?
test6.txt,"Интервьюер: Слушай, а тебе не кажется, что это просто идеальная картинка, которую мы все пытаемся нарисовать, чтобы оправдать свои страхи и неуверенности?","Слушай, а что для тебя значит доверие в отношениях?","Так вот, а что именно в ваших отношениях помогает избежать такой ревности?",Почему ты так уверена в этом?,"Почему ты считаешь, что у вас нормальные отношения?",Почему ты так уверена в этом?,Почему ты так уверена в этом?,"Но ведь бывает же, что девочка просто доверяет парню на 100%, и им это вполне комфортно?","Да? Бывают ли девушки, которые не хотят видеться с твоим телефоном, и при этом у них нормальные отношения?"
test7.txt,"Интервьюер: Как вы себя чувствовали, когда принимали это решение?","Ага, а что стало причиной вашего расставания?",А почему ты вернулась?,Почему вернулась?,Почему вернулась?,А что стало причиной разрыва?,Почему вернулась?,"А как вы думали, кто еще мог быть?",Как ты это объясняешь? Зачем вернулась к мужу?
test8.txt,"Интервьюер: А ты как к этому относишься, когда без образования снимаются?","А как вы считаете, это влияет на её карьеру?","Почему, по вашему мнению, отсутствие образования не мешает ей в сериалах?",А что ты можешь сказать о её таланте?,"А ты знаешь, где она училась?",А как она попала в сериалы?,А почему она тогда снимается в сериалах?,Но ты как тогда такая хорошая актриса?,Ты точно не ходила в актёрское училище?
test9.txt,Интервьюер: И что это за расчехления такие? Ты прям в процессе каких-то внутренних изменений была?,Что именно ты поняла из этих расчехлений?,А какие именно моменты стали для тебя переломными?,Почему ты решила именно так подойти к этим моментам?,А что тебя вдохновляло в эти моменты?,Что за моменты были самые сложные?,"Что это за моменты были, когда ты всё расчехляла?","Какие именно расчехления? Вот расскажи, какие важные шаги ты сделала?",Какие именно расчехления моменты тебе помогли улучшить отношения?
test9_10.txt,"Интервьюер: А что в Казахстане тебя больше всего поразило — горы, степи или, может, что-то другое?",А что именно тебя поразило в атмосфере секвой?,А что именно тебе запомнилось больше всего в секвойях?,А что еще в природе тебя так впечатлило?,Почему именно секвои произвели на тебя такое впечатление?,А какие ещё места тебя впечатлили?,А какие ещё места впечатлили тебя так же сильно?,"А это такие древние, нереальные гиганты, которых даже трудно представить, сколько их возраст? Они как будто сказка живут в этом лесу. А как они выглядят с вершины горы?!?",Да? А ты уже бывала среди этих огромных секвой в штатах?
