provider,case_id,interviewer,emotion,structure,target_words,json_valid,has_parts_key,parts_count_correct,roles_correct,word_count_mae,no_forbidden_punct,latency_s,input_tokens,output_tokens,cost_usd,style_cosine,judge_style,judge_language,judge_emotion,judge_overall,judge_mean,judge_comment
or/deepseek-chat,dud_01_question_neutral_followup,dud,neutral,question,12,True,True,True,True,2,True,2.78,938,35,0.000292,0.3493,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Юрия Дудя.
or/deepseek-chat,dud_02_question_challenge_why,dud,challenge,question,12,True,True,True,True,4,True,2.463,894,34,0.000279,0.5322,4.0,5.0,3.0,4.0,4.0,"Реплика соответствует стилю и языку, но не полностью провокационна."
or/deepseek-chat,dud_03_ack_question_empathy,dud,empathy,acknowledgment+question,20,True,True,True,True,10,True,3.366,946,48,0.000308,0.5149,4.0,5.0,4.0,4.0,4.25,"Реплика сочувствующая и в стиле Дудя, но могла быть более эмоциональной."
or/deepseek-chat,dud_04_question_commentary,dud,commentary,question,8,True,True,True,True,3,True,2.116,863,26,0.000262,0.498,3.0,5.0,1.0,2.0,2.75,Реплика не соответствует требуемой эмоции одобрения.
or/deepseek-chat,dud_05_paraphrase_question_neutral,dud,neutral,paraphrase+question,24,True,True,True,True,6,True,2.922,946,62,0.000324,0.357,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и тону, но могла бы быть более прямолинейной."
or/deepseek-chat,dud_06_question_challenge_factcheck,dud,challenge,question,10,True,True,True,True,4,True,1.396,876,28,0.000267,0.337,4.0,5.0,4.0,4.0,4.25,"Реплика соответствует стилю и эмоции, но могла бы быть более провокационной."
or/deepseek-chat,dud_07_bridge_question_transition,dud,neutral,bridge+question,22,True,True,True,True,12,True,2.92,889,46,0.000291,0.6456,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и тону, но переход мог быть более плавным."
or/deepseek-chat,sobchak_08_question_challenge,sobchak,challenge,question,14,True,True,True,True,5,True,2.069,856,35,0.00027,0.4638,3.0,5.0,3.0,3.0,3.5,"Реплика корректна, но недостаточно провокационна для стиля Собчак."
or/deepseek-chat,sobchak_09_question_neutral_transition,sobchak,neutral,question,14,True,True,True,True,3,True,1.856,855,38,0.000273,0.3794,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и тону, но могла бы быть более провокационной."
or/deepseek-chat,sobchak_10_ack_question_empathy,sobchak,empathy,acknowledgment+question,26,True,True,True,True,18,True,2.519,882,45,0.000288,0.546,3.0,5.0,4.0,4.0,4.0,"Реплика сочувственная, но не полностью соответствует провокационному стилю Собчак."
or/deepseek-chat,sobchak_11_question_challenge_opinion,sobchak,challenge,question,14,True,True,True,True,1,True,2.319,868,43,0.000282,0.4716,4.0,5.0,4.0,4.0,4.25,"Реплика провокационная и соответствует стилю Собчак, но могла бы быть более острой."
or/deepseek-chat,sobchak_12_paraphrase_question_neutral,sobchak,neutral,paraphrase+question,26,True,True,True,True,9,True,9.019,904,70,0.000321,0.356,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и эмоции, но могла бы быть более провокационной."
or/deepseek-chat,sobchak_13_question_challenge_factcheck,sobchak,challenge,question,14,True,True,True,True,1,True,2.059,865,36,0.000273,0.4473,4.0,5.0,4.0,4.0,4.25,"Реплика провокационная и грамматически правильная, но могла быть более острой."
or/deepseek-chat,sobchak_14_bridge_question_transition,sobchak,neutral,bridge+question,26,True,True,True,True,14,True,4.887,868,51,0.00029,0.3472,4.0,5.0,4.0,4.0,4.25,"Реплика соответствует стилю и тону, но слегка отклоняется от нейтральности."
or/deepseek-chat,pozner_15_question_neutral_values,pozner,neutral,question,28,True,True,True,True,11,True,2.406,887,44,0.000288,0.3458,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Владимира Познера.
or/deepseek-chat,pozner_16_paraphrase_question_neutral,pozner,neutral,paraphrase+question,50,True,True,True,True,31,True,4.683,916,66,0.00032,0.3342,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю Познера, но могла бы быть более аналитической."
or/deepseek-chat,pozner_17_text_question_opinion,pozner,neutral,text+question,50,True,True,True,True,30,True,3.205,898,69,0.000318,0.3623,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Владимира Познера.
or/deepseek-chat,pozner_18_question_neutral_background,pozner,neutral,question,28,True,True,True,True,10,True,3.778,862,58,0.000297,0.3107,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Владимира Познера.
or/deepseek-chat,pozner_19_question_empathy,pozner,empathy,question,28,True,True,True,True,9,True,2.828,853,47,0.000282,0.2733,4.0,5.0,3.0,4.0,4.0,"Реплика соответствует стилю Познера, но не полностью передает сочувствие."
